ཨང།,ཆོས་མཚན།,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།,པེ་ཅིན་བསྡོམས།,Peking pgs.,548,Peking vol.,1,,པོད་དང་པོའི་བསྡོམས།,གཉིས་པ་དང་གསུམ་པའི་བསྡོམས།,སྡེ་དགེའི་ཤོག་གྲངས།,Derge pgs.,26819,Derge vol.,45,,,,,,,,,,
58,དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,1-29,རྒྱུད། ཤ14,སློབ་དཔོན་ཀླུ་སྒྲུབ།,1617-1625,ལ272བ-275བ,ཤ247བ-250བ,,,,,,,,7,,ཤ,247,b,250,b,,,,,,,,,,
59,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,1-30,རྒྱུད། ཤ།14,འཕགས་པ་ཀླུ་སྒྲུབ།,1627-1629,ལ275བ-276ན,ཤ250བ-251ན,,,,,,,,4,,ཤ,250,b,251,a,,,,,,,,,,
60,དཔལ་མགོན་པོའི་གཏོར་མ་ཞེས་བྱ་བ།,17-16,རྒྱུད། ཤ14,ཇོ་བོ་རྗེ།,1653-1658,ལ282བ-284བ,ཤ256བ-258བ,,,,,,,,5,,ཤ,256,b,258,b,,,,,,,,,,
2,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,1692-1694,ལ292ན-293ན,ཤ267བ-268ན,,,,,,,,4,,ཤ,267,b,268,a,,,,,,,,,,
61,ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,1-31,རྒྱུད། ཤ14,མགོན་པོ་ཀླུ་སྒྲུབ།,1695-1696,ལ293ན3-293བ2,ཤ268ན3-268བ1,,,,,,,,0,,ཤ,268,a,268,b,,,,,,,,,,
62,དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,1-32,རྒྱུད། ཤ14,འཕགས་པ་ཀླུ་སྒྲུབ།,1698-1701,ལ293བ-294བ,ཤ268བ-269ན,,,,,,,,4,,ཤ,268,b,269,a,,,,,,,,,,
63,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,,རྒྱུད། ཤ14,འཕགས་པ་ཀླུ་སྒྲུབ།,1718-1721,ལ299ན-300བ,ཤ272ན-273ན,,,,,,,,3,,ཤ,272,a,273,a,,,,,,,,,,
64,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,,རྒྱུད། ཤ14,འཕགས་པ་ཀླུ་སྒྲུབ།,1723-1726,ལ299-ན300བ,ཤ273ན-274ན,,,,,,,,3,,ཤ,273,a,274,a,,,,,,,,,,
65,རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,1-33,རྒྱུད། ཤ14,མགོན་པོ་ཀླུ་སྒྲུབ།,1728-1731,ལ300བ-301བ,ཤ274ན-275ན,,,,,,,,3,,ཤ,274,a,275,a,,,,,,,,,,
66,དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ་ཞེས་བྱ་བ།,1-34,རྒྱུད། ས།15,མགོན་པོ་ཀླུ་སྒྲུབ།,3-677,ཤ1བ-339བ,ས1བ-283བ,,,,,,,,565,,ས,1,b,283,b,,,,,,,,,,
67,ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,1-35,རྒྱུད། ས།15,མགོན་པོ་ཀླུ་སྒྲུབ།,719-819,ཤ339བ-390ན,ས284ན-324ན,,,,,,,,81,,ས,284,a,324,a,,,,,,,,,,
