Ye shes zla ba,ཡེ་ཤེས་ཟླ་བ
Chos kyi dbang po,ཆོས་ཀྱི་དབང་པོ
Blo bzang seng ge,བློ་བཟང་སེང་གེ
Sonashrī,
Lhan cig skyes pa'i rol pa,ལྷན་ཅིག་སྐྱེས་པའི་རོལ་པ
ngo bo nyid med pa,ངོ་བོ་ཉིད་མེད་པ
Rgyal bu sprin gyi shugs can,རྒྱལ་བུ་སྤྲིན་གྱི་ཤུགས་ཅན
Jetari,
Manyjushrījnyāna,
shrīvirūpa,
Sādhuputra,
shrījaganmitra,
Rgyal ba'i sde,རྒྱལ་བའི་སྡེ
Dhokari,
Vishvāmitra,
Rin chen rdo rje,རིན་ཆེན་རྡོ་རྗེ
Seng ge bzang po (Haribhadra),སེང་གེ་བཟང་པོ ༼ཧརིབྷདྲ༽
Lha spas,ལྷ་སྤས
[Candragomin?],
Parahita,
Prajnyākara,
Carppati,
Rgyal ba bzang po dpal sbas pa,རྒྱལ་བ་བཟང་པོ་དཔལ་སྦས་པ
Bde bar gshegs pa bcu gnyis,བདེ་བར་གཤེགས་པ་བཅུ་གཉིས
Chos kyi shabs,ཆོས་ཀྱི་ཤབས
Dge ba lha,དགེ་བ་ལྷ
Byang chub mchog,བྱང་ཆུབ་མཆོག
Tog rtse ba,ཏོག་རྩེ་བ
Sādhuputra dpal 'dsin dga' ba,སāདྷུཔུཏྲ་དཔལ་འཛིན་དགའ་བ
shrīsiddhi,
Dge ba'i dbang po (Kṣemendra),དགེ་བའི་དབང་པོ ༼ཀṣཨེམེནདྲ༽
Jalandhara,
Dga' ba'i dpal (N),དགའ་བའི་དཔལ ༼ན༽
Vasudavajra,
Gser gling pa,གསེར་གླིང་པ
Kāyastha bgres po,
Rta dbyangs ,རྟ་དབྱངས་
Nairiti pa,
Sabari ba,
Kampala'i yum,
Ratnarakṣita,
Mi pham pa'i bshes gnyen,མི་ཕམ་པའི་བཤེས་གཉེན
Jayānanda,
shālihotra,
Rdo rje mi bskyod pa,རྡོ་རྗེ་མི་བསྐྱོད་པ
Devacandra,
Rgyal po padma dkar po,རྒྱལ་པོ་པདྨ་དཀར་པོ
Jagattatāla gnas pa,
Shi ba 'tsho (shāntarakṣita),ཞི་བ་འཚོ
Devashānti,
'igs med 'byung gnas sras pa,འིགས་མེད་འབྱུང་གནས་སྲས་པ
Kun dga' snying po,ཀུན་དགའ་སྙིང་པོ
