སྣར་	སྡེ་	པེ་	ཅོ་
གིས་སྣོད་	གི་གནོད་	གིས་སྣོད་	གི་གནོད་	
འདའ་	འདས་	འདའ་	འདས་	
བུ ས།  །ཁྱོད་ཀྱི་	བུ ར། །ཁྱོད་ཀྱིས་	བུ ས།  །ཁྱོད་ཀྱི་	བུ ར། །ཁྱོད་ཀྱིས་	
ཚོགས་	སུམ་	ཚོགས་	སུམ་	
ནི	གི	ནི	གི	
པ ར་	པ་	པ ར་	པ་	
གིས་	གི་	གིས་	གི་	
གིས་	གི་	གིས་	གི་	
བཅས་	ཅན་	བཅས་	ཅན་	
གི་	ནི་	གི་	ནི་	
རྣམས་	དག་	རྣམས་	དག་	
ལ	ནི	ལ	ནི	
ཡིས་	ཡི་	ཡིས་	ཡི་	
ལ་	པ་	ལ་	པ་	
གིས་	གི་	གིས་	གི་	
ལ འང་	ལ་	ལ འང་	ལ་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
ལྟ	ལྟར	ལྟ	ལྟར	
གི་	གིས་	གི་	གིས་	
ཡིས་	ཡི་	ཡིས་	ཡི་	
གྲིའི་	གྲི་	གྲིའི་	གྲི་	
གསལ་བ ར་	གསལ་བ་	གསལ་བ ར་	གསལ་བ་	
ཞེས་	ཞེ་	ཞེས་	ཞེ་	
ལྟ་	ལྟར་	ལྟ་	ལྟར་	
པ ར	པ	པ ར	པ	
པ ས	པ	པ ས	པ	
ཞིང་	ཉིད	ཞིང་	ཉིད	
བྱ འི་སྨོན་ལམ་གྱིས	བྱ་སྨོན་ལམ་གྱི	བྱ འི་སྨོན་ལམ་གྱིས	བྱ་སྨོན་ལམ་གྱི	
དང་	པ འི་	དང་	པ འི་	
བུ་	བུ ར་	བུ་	བུ ར་	
དེ་	དེ ར་	དེ་	དེ ར་	
བུ་	བུ ར་	བུ་	བུ ར་	
མཐོང་བ ར་	མཐོང་བ ས་	མཐོང་བ ར་	མཐོང་བ ས་	
པོ ར་	པོ་	པོ ར་	པོ་	
ཅན་	པ་	ཅན་	པ་	
གི་	གིས་	གི་	གིས་	
བར	བ	བར	བ	
ལས་	ལ་	ལས་	ལ་	
ཉིད་	ནི་	ཉིད་	ནི་	
